1,JD,Magnitude
387,2404787.0,3.65
388,2404909.0,4.0
389,2404933.0,3.6
390,2404960.0,3.5
391,2404970.0,3.85
392,2404981.0,3.6
393,2404982.0,3.6
396,2405000.0,4.42
397,2405001.0,3.75
398,2405002.0,3.54
399,2405017.0,3.55
402,2405019.0,3.65
405,2405021.0,4.18
406,2405022.0,4.35
409,2405024.0,3.5
410,2405026.0,3.66
411,2405027.0,3.85
416,2405034.0,3.85
417,2405035.0,4.2
422,2405040.0,3.6
423,2405041.0,3.8
424,2405042.0,4.25
425,2405043.0,4.45
432,2405049.0,4.24
436,2405054.0,3.65
437,2405056.0,4.05
440,2405058.0,4.35
441,2405059.0,3.63
442,2405060.0,3.5
447,2405064.0,3.9
448,2405067.0,3.54
451,2405077.0,4.0
454,2405083.0,3.75
455,2405089.0,3.6
456,2405090.0,3.66
457,2405102.0,3.63
460,2405106.0,3.75
461,2405113.0,3.85
462,2405119.0,3.6
463,2405124.0,3.55
464,2405131.0,3.53
465,2405251.0,4.35
466,2405338.0,4.12
467,2405418.0,3.6
470,2405423.0,4.4
475,2405426.0,3.45
482,2405431.0,4.28
485,2405434.0,3.75
488,2405439.0,3.8
489,2405441.0,3.57
490,2405442.0,3.55
491,2405444.0,3.8
498,2405459.0,4.35
501,2405466.0,4.3
502,2405467.0,4.38
503,2405468.0,3.78
504,2405471.0,3.55
505,2405472.0,3.7
506,2405474.0,4.3
513,2405482.0,4.15
514,2405489.0,4.15
515,2405494.0,4.05
516,2405495.0,4.4
517,2405500.0,3.75
518,2405501.0,4.05
519,2405502.0,4.25
520,2405503.0,4.25
521,2405504.0,4.0
522,2405512.0,3.6
523,2405622.0,3.75
524,2405635.0,3.55
525,2405636.0,3.65
526,2405652.0,4.15
529,2405665.0,3.65
530,2405666.0,3.7
531,2405671.0,3.65
532,2405686.0,3.7
533,2405687.0,3.9
534,2405690.0,4.4
537,2405699.0,3.55
538,2405700.0,3.65
539,2405706.0,3.6
540,2405707.0,3.6
541,2405708.0,3.65
542,2405709.0,3.85
543,2405710.0,4.1
546,2405713.0,3.5
547,2405714.0,3.5
550,2405718.0,4.3
553,2405720.0,3.8
554,2405722.0,3.6
557,2405724.0,4.1
560,2405735.0,3.6
564,2405738.0,4.18
565,2405742.0,3.6
569,2405744.0,3.65
570,2405749.0,3.45
571,2405751.0,3.65
572,2405754.0,4.46
576,2405756.0,3.5
577,2405757.0,3.6
581,2405759.0,4.17
582,2405766.0,3.85
583,2405775.0,4.35
588,2405788.0,4.4
591,2405792.0,3.6
592,2405794.0,3.7
593,2405795.0,3.9
596,2405802.0,4.12
599,2405806.0,3.55
600,2405810.0,4.2
601,2405811.0,4.4
604,2405820.0,3.95
605,2405824.0,4.3
606,2405839.0,4.45
607,2405853.0,3.85
608,2406023.0,3.6
609,2406043.0,3.6
610,2406073.0,3.8
611,2406081.0,3.6
612,2406098.0,4.45
617,2406143.0,4.07
618,2406144.0,3.5
619,2406146.0,4.15
620,2406147.0,4.1
621,2406148.0,4.35
622,2406149.0,4.35
623,2406151.0,3.55
624,2406152.0,3.6
625,2406165.0,3.55
626,2406196.0,3.65
627,2406201.0,3.7
628,2406205.0,4.4
629,2406238.0,3.75
630,2406239.0,4.0
631,2406241.0,4.3
632,2406242.0,4.4
633,2411892.0,4.1
634,2411948.0,4.1
635,2414843.0,3.9
636,2414852.0,4.1
637,2414876.0,4.0
638,2414895.0,4.1
639,2414898.0,3.9
640,2414901.0,3.9
641,2414902.0,4.1
642,2414930.0,4.0
643,2415196.0,4.1
644,2415218.0,4.3
645,2415224.0,3.8
646,2415226.0,4.2
647,2415229.0,3.6
648,2415231.0,3.6
649,2415236.0,3.8
650,2415237.0,3.6
651,2415244.0,3.4
654,2415246.0,3.8
657,2415248.0,4.3
658,2415249.0,4.1
659,2415250.0,3.7
660,2415254.0,4.1
661,2415255.0,4.1
664,2415258.0,3.7
671,2415268.0,3.8
672,2415269.0,4.2
675,2415280.0,3.9
676,2415282.0,4.1
679,2415288.0,3.7
680,2415291.0,3.9
684,2415295.0,3.7
685,2415296.0,3.8
686,2415297.0,4.2
687,2415298.0,4.1
688,2415300.0,3.8
689,2415301.0,3.5
690,2415305.0,4.3
691,2415306.0,4.1
692,2415307.0,4.0
695,2415311.0,4.1
699,2415316.0,3.6
700,2415319.0,4.2
706,2415334.0,4.2
707,2415335.0,4.3
710,2415339.0,4.0
713,2415347.0,4.1
714,2415349.0,4.4
715,2415351.0,3.7
716,2415361.0,4.1
717,2415364.0,4.1
720,2415369.0,4.2
721,2415370.0,4.3
722,2415371.0,4.3
723,2415373.0,4.1
724,2415525.0,3.8
725,2415547.0,3.9
726,2415559.0,3.6
727,2415563.0,4.1
728,2415573.0,3.6
729,2415575.0,4.0
730,2415576.0,4.1
731,2415577.0,4.1
732,2415581.0,3.5
737,2415584.0,4.1
741,2415588.0,3.5
742,2415593.0,4.1
743,2415594.0,4.1
744,2415604.0,4.0
745,2415605.0,4.1
746,2415606.0,4.1
749,2415610.0,3.6
750,2415612.0,4.1
751,2415615.0,4.2
752,2415616.0,4.2
753,2415617.0,3.6
754,2415618.0,3.9
755,2415619.0,4.2
756,2415633.0,3.9
757,2415637.0,4.1
758,2415641.0,3.5
759,2415643.0,4.2
760,2415646.0,3.7
761,2415661.0,3.7
764,2415663.0,4.3
765,2415664.0,4.1
768,2415667.0,3.6
769,2415669.0,4.0
770,2415671.0,4.0
778,2415680.0,4.0
779,2415683.0,3.6
780,2415684.0,3.6
781,2415687.0,3.7
782,2415688.0,3.8
785,2415692.0,4.1
786,2415700.0,4.1
787,2415705.0,3.7
788,2415706.0,4.1
789,2415709.0,3.6
790,2415710.0,3.6
791,2415711.0,4.3
792,2415714.0,4.1
793,2415715.0,4.1
794,2415717.0,3.6
795,2415869.0,4.08
796,2415877.0,3.72
797,2415883.0,3.72
798,2415884.0,4.28
799,2415885.0,3.92
800,2415897.0,3.92
801,2415901.0,4.42
802,2415902.0,4.92
803,2415903.0,4.67
804,2415904.0,4.08
805,2415907.0,3.84
806,2415910.0,4.08
807,2415911.0,3.92
808,2415915.0,4.63
809,2415918.0,3.64
810,2415926.0,4.23
811,2415927.0,3.9
814,2415929.0,4.38
818,2415933.0,4.0
819,2415934.0,3.6
822,2415962.0,4.08
823,2415965.0,4.51
824,2415967.0,4.38
825,2415972.0,4.43
826,2415977.0,4.08
827,2415982.0,3.84
828,2415984.0,4.32
829,2415987.0,4.87
830,2415990.0,3.79
831,2415996.0,4.26
832,2415999.0,4.38
835,2416003.0,3.8
836,2416005.0,4.0
837,2416006.0,4.0
838,2416015.0,4.38
839,2416016.0,4.92
840,2416021.0,3.96
841,2416022.0,4.47
842,2416025.0,4.08
843,2416031.0,4.3
844,2416033.0,3.4
845,2416037.0,4.1
846,2416038.0,4.1
847,2416044.0,4.2
848,2416066.0,4.1
849,2416072.0,4.3
850,2416073.0,4.51
851,2416080.0,4.55
852,2416082.0,4.1
853,2416086.0,3.9
854,2416089.0,4.08
855,2416090.0,3.96
856,2416233.0,4.43
857,2416238.0,4.52
858,2416240.0,4.51
859,2416243.0,4.28
860,2416258.0,4.2
861,2416260.0,4.47
862,2416261.0,4.67
863,2416262.0,4.47
864,2416263.0,3.8
865,2416266.0,4.28
866,2416268.0,4.81
867,2416274.0,4.55
868,2416281.0,4.5
869,2416287.0,4.49
870,2416292.0,4.24
871,2416293.0,4.08
872,2416295.0,4.29
873,2416296.0,4.46
874,2416299.0,4.43
875,2416301.0,4.08
876,2416348.0,3.6
877,2416367.0,3.97
878,2416372.0,4.67
879,2416375.0,4.24
880,2416377.0,4.51
881,2416378.0,3.96
882,2416379.0,4.08
883,2416382.0,4.08
884,2416383.0,4.55
885,2416384.0,4.28
886,2416386.0,3.86
887,2416393.0,4.24
888,2416403.0,4.2
889,2416410.0,4.54
890,2416433.0,4.5
893,2416437.0,4.0
894,2416461.0,4.43
895,2416591.0,4.52
896,2416592.0,4.5
897,2416613.0,4.67
898,2416620.0,4.67
899,2416621.0,4.08
900,2416627.0,4.67
901,2416637.0,3.97
902,2416641.0,4.51
903,2416645.0,4.08
904,2416649.0,4.51
907,2416663.0,4.47
908,2416664.0,3.71
909,2416666.0,3.9
910,2416667.0,4.0
911,2416668.0,4.2
912,2416669.0,4.6
913,2416670.0,4.4
914,2416671.0,3.8
915,2416673.0,3.6
916,2416674.0,4.0
917,2416677.0,4.5
918,2416678.0,4.1
919,2416679.0,3.7
920,2416680.0,3.6
921,2416681.0,3.7
922,2416682.0,3.8
925,2416698.0,4.2
928,2416703.0,4.2
929,2416706.0,4.51
930,2416707.0,3.6
931,2416708.0,4.08
932,2416710.0,4.1
933,2416713.0,4.47
934,2416720.0,4.56
939,2416723.0,3.8
940,2416726.0,4.47
941,2416729.0,3.65
944,2416737.0,4.47
945,2416740.0,4.51
948,2416751.0,4.08
953,2416759.0,4.1
954,2416760.0,4.1
957,2416762.0,4.4
960,2416764.0,3.6
961,2416765.0,3.9
962,2416766.0,4.0
963,2416767.0,4.2
964,2416769.0,4.5
965,2416772.0,3.8
966,2416773.0,4.0
967,2416774.0,4.2
968,2416778.0,4.1
969,2416779.0,3.6
970,2416780.0,3.5
971,2416781.0,3.7
972,2416782.0,4.0
973,2416783.0,4.3
974,2416785.0,4.1
975,2416787.0,3.6
976,2416788.0,3.6
977,2416789.0,4.0
978,2416791.0,4.4
979,2416793.0,3.6
980,2416794.0,3.7
981,2416795.0,4.1
982,2416796.0,4.1
983,2416797.0,4.2
984,2416798.0,4.5
985,2416799.0,4.3
986,2416800.0,3.8
987,2416801.0,3.6
988,2416803.0,3.8
989,2416805.0,4.1
990,2416810.0,3.7
991,2416812.0,4.3
992,2416813.0,4.4
993,2416814.0,3.7
994,2416815.0,3.6
995,2416829.0,3.7
996,2416930.0,4.08
997,2416961.0,4.43
998,2416970.0,4.6
999,2416975.0,4.47
1000,2416976.0,4.47
1001,2416977.0,4.61
1002,2416983.0,4.46
1003,2416988.0,4.02
1004,2416989.0,3.59
1005,2416994.0,4.47
1006,2416996.0,4.08
1007,2417018.0,4.1
1008,2417019.0,4.2
1009,2417020.0,4.3
1010,2417021.0,4.2
1011,2417023.0,3.6
1012,2417024.0,3.8
1013,2417032.0,3.98
1020,2417037.0,3.5
1021,2417038.0,3.9
1028,2417044.0,4.14
1036,2417048.0,4.1
1037,2417050.0,4.1
1038,2417051.0,3.7
1043,2417054.0,3.7
1046,2417057.0,4.1
1047,2417059.0,3.6
1052,2417064.0,4.62
1053,2417068.0,3.8
1054,2417069.0,4.38
1055,2417072.0,4.38
1058,2417082.0,4.24
1059,2417092.0,4.1
1060,2417094.0,4.38
1061,2417095.0,3.7
1062,2417097.0,4.38
1063,2417101.0,3.9
1066,2417105.0,3.9
1067,2417106.0,4.47
1068,2417107.0,4.52
1069,2417108.0,4.1
1073,2417110.0,3.5
1077,2417113.0,4.3
1080,2417118.0,4.13
1081,2417119.0,3.9
1082,2417122.0,4.3
1086,2417125.0,3.8
1087,2417126.0,3.8
1088,2417127.0,4.1
1089,2417129.0,4.38
1090,2417132.0,3.7
1091,2417134.0,4.0
1092,2417136.0,3.8
1093,2417137.0,4.3
1094,2417139.0,3.2
1097,2417142.0,4.55
1103,2417148.0,4.0
1104,2417150.0,4.57
1105,2417151.0,4.38
1106,2417153.0,3.6
1107,2417156.0,4.2
1110,2417159.0,3.7
1111,2417160.0,4.18
1112,2417163.0,4.0
1113,2417165.0,3.9
1114,2417166.0,4.08
1115,2417169.0,3.9
1116,2417171.0,4.3
1123,2417178.0,4.47
1127,2417184.0,4.3
1128,2417185.0,4.4
1129,2417188.0,3.7
1130,2417190.0,4.29
1131,2417193.0,4.4
1132,2417194.0,4.0
1133,2417197.0,3.8
1134,2417198.0,4.28
1135,2417199.0,4.0
1136,2417205.0,3.9
1137,2417208.0,4.0
1138,2417209.0,3.9
1139,2417382.0,4.08
1140,2417394.0,4.67
1141,2417401.0,4.67
1142,2417405.0,4.08
1143,2417409.0,4.38
1144,2417411.0,3.96
1145,2417414.0,4.2
1146,2417415.0,4.67
1147,2417418.0,3.98
1148,2417420.0,4.14
1149,2417423.0,4.52
1150,2417429.0,4.51
1151,2417432.0,3.96
1152,2417436.0,4.29
1153,2417445.0,4.67
1154,2417452.0,4.55
1155,2417491.0,3.95
1156,2417494.0,4.38
1157,2417495.0,4.67
1158,2417496.0,4.13
1159,2417498.0,3.98
1160,2417506.0,4.08
1161,2417507.0,4.24
1162,2417532.0,4.03
1163,2417537.0,4.51
1164,2417546.0,4.18
1165,2417552.0,4.51
1166,2417564.0,4.33
1167,2417566.0,4.5
1168,2417567.0,4.47
1169,2417707.0,4.2
1170,2417708.0,4.14
1171,2417718.0,4.53
1172,2417736.0,4.08
1175,2417749.0,3.71
1176,2417760.0,4.57
1177,2417763.0,3.71
1178,2417764.0,3.75
1179,2417798.0,3.72
1180,2417799.0,3.96
1181,2417804.0,4.42
1182,2417807.0,4.4
1183,2417815.0,4.25
1186,2417818.0,4.58
1187,2417819.0,4.08
