JD,Magnitude
2404171.444,4.1
2404172.464,3.5
2404172.544,3.5
2404173.454,3.7
2404174.474,3.9
2404174.564,3.85
2404175.514,4.05
2404177.554,3.5
2404186.524,3.9
2404190.474,3.75
2404190.524,3.73
2404191.454,4.0
2404198.444,3.95
2404201.464,3.9
2404201.484,3.92
2404203.464,3.95
2404203.524,4.0
2404209.454,3.75
2404209.544,3.7
2404210.424,3.45
2404210.514,3.55
2404211.404,3.67
2404212.454,3.87
2404212.544,3.9
2404213.504,3.98
2404216.464,3.65
2404219.484,4.02
2404220.404,3.67
2404220.414,3.6
2404225.554,3.8
2404228.504,3.9
2404229.444,3.96
2404231.474,3.5
2404232.404,3.63
2404232.494,3.65
2404233.444,3.87
2404233.494,3.9
2404234.464,3.98
2404235.444,4.1
2404236.454,3.67
2404237.454,3.55
2404237.524,3.6
2404239.474,3.98
2404241.524,3.85
2404242.494,3.55
2404247.504,3.55
2404249.434,3.9
2404250.424,4.0
2404251.434,4.04
2404253.424,3.55
2404254.444,3.8
2404256.394,4.0
2404258.394,3.45
2404259.414,3.9
2404262.464,4.04
2404263.444,3.6
2404266.424,4.0
2404267.394,4.05
2404268.444,3.85
2404276.444,3.75
2404279.404,3.7
2404288.414,3.95
2404290.394,3.55
2404291.374,3.7
2404294.464,4.0
2404302.434,3.65
2404304.444,4.05
2404305.384,4.05
2404306.334,3.65
2404306.474,3.67
2404307.414,3.8
2404310.374,4.1
2404311.334,3.9
2404314.404,3.95
2404320.344,4.05
2404322.334,3.7
2404322.444,3.7
2404324.394,3.85
2404332.334,4.05
2404333.404,3.65
2404334.344,3.5
2404334.444,3.57
2404335.274,3.7
2404336.284,3.93
2404337.294,4.05
2404337.484,4.05
2404338.304,3.8
2404339.324,3.6
2404339.444,3.6
2404340.284,3.85
2404341.324,4.0
2404341.474,3.95
2404342.274,3.97
2404346.304,3.9
2404347.504,4.05
2404352.274,3.93
2404354.304,4.07
2404356.244,3.7
2404364.264,4.0
2404366.244,3.57
2404369.314,4.1
2404371.274,3.55
2404372.254,3.65
2404373.314,3.9
2404375.244,4.15
2404377.294,3.55
2404381.384,3.63
2404382.254,3.63
2404391.294,4.13
2404396.504,4.04
2404397.474,3.7
2404398.254,3.6
2404398.514,3.63
2404399.244,3.8
2404429.264,4.05
2404437.244,3.92
2404451.314,3.64
2404470.254,3.98
2404471.254,4.15
2404472.254,3.95
2404476.274,4.12
2404478.284,3.48
2404480.314,3.95
2404484.314,3.58
2404488.284,4.0
2404489.284,3.57
2404490.294,3.65
2404492.274,4.07
2404493.274,4.04
2404497.294,4.04
2404499.304,3.6
2404499.644,3.5
2404504.554,3.75
2404524.504,3.95
2404525.504,4.08
2404551.464,3.9
2404554.454,3.6
2404555.464,3.7
2404561.514,3.95
2404562.454,4.04
2404564.494,3.45
2404565.484,3.68
2404567.504,4.0
2404569.504,3.5
2404570.464,3.65
2404571.514,3.8
2404572.434,4.0
2404573.454,4.07
2404576.474,3.7
2404577.414,3.98
2404579.464,3.98
2404589.524,4.07
2404593.414,3.95
2404594.464,4.0
2404595.474,4.0
2404608.494,3.68
2404616.394,4.07
2404623.494,3.45
2404624.484,3.7
2404625.464,3.93
2404626.404,4.05
2404630.474,4.0
2404640.384,3.7
2404641.424,3.74
2404647.414,3.98
2404648.474,4.0
2404649.434,3.9
2404650.414,3.6
2404651.444,3.7
2404652.414,3.84
2404657.404,3.8
2404658.394,3.93
2404660.424,3.7
2404661.484,3.63
2404663.464,4.0
2404664.384,4.0
2404664.484,4.0
2404665.474,3.9
2404665.514,3.92
2404666.364,3.4
2404667.344,3.65
2404668.364,3.88
2404669.384,3.95
2404669.534,4.0
2404670.354,4.0
2404670.574,4.0
2404675.414,4.05
2404676.364,3.73
2404677.444,3.63
2404679.424,3.95
2404680.354,4.0
2404681.394,4.0
2404681.504,3.96
2404682.364,3.45
2404682.484,3.48
2404683.354,3.7
2404705.394,3.7
2404706.354,3.85
2404707.354,4.0
2404713.354,4.0
2404715.344,3.6
2404716.344,3.9
2404717.264,3.95
2404718.354,4.0
2404721.294,3.7
2404726.254,3.65
2404736.354,3.66
2404737.284,3.7
2404741.314,3.57
