JD,Magnitude
2405054.344,3.65
2405056.384,4.05
2405057.314,4.35
2405057.424,4.25
2405058.314,4.35
2405059.354,3.63
2405060.324,3.5
2405061.344,3.57
2405061.444,3.63
2405062.324,3.63
2405062.444,3.63
2405064.314,3.9
2405067.334,3.54
2405068.284,3.55
2405068.424,3.6
2405077.284,4.0
2405079.264,4.15
2405079.394,4.24
2405083.394,3.75
2405089.384,3.6
2405090.284,3.66
2405102.314,3.63
2405105.264,3.7
2405105.344,3.65
2405106.294,3.75
2405113.284,3.85
2405119.284,3.6
2405124.224,3.55
2405131.254,3.53
2405250.644,4.35
2405338.464,4.12
2405418.394,3.6
2405422.274,4.4
2405422.404,4.38
2405423.304,4.4
2405424.274,4.24
2405424.414,4.2
2405425.294,3.65
2405425.384,3.65
2405426.284,3.45
2405427.284,3.6
2405427.394,3.65
2405428.294,3.66
2405428.394,3.66
2405429.304,3.96
2405429.454,3.95
2405431.274,4.28
2405432.274,4.25
2405432.374,4.25
2405434.394,3.75
2405438.264,4.24
2405438.364,4.25
2405439.314,3.8
2405441.344,3.57
2405442.284,3.55
2405444.284,3.8
2405448.264,3.55
2405448.374,3.6
2405449.264,3.57
2405449.364,3.58
2405458.274,4.05
2405458.364,4.05
2405459.344,4.35
2405460.254,4.4
2405460.354,4.38
2405466.234,4.3
2405467.234,4.38
2405468.284,3.78
2405471.244,3.55
2405472.244,3.7
2405474.264,4.3
2405475.214,3.94
2405475.314,3.9
2405476.214,3.5
2405476.304,3.53
2405477.214,3.55
2405477.314,3.6
2405482.264,4.15
2405489.244,4.15
2405494.244,4.05
2405495.204,4.4
2405500.214,3.75
2405501.224,4.05
2405502.214,4.25
2405503.224,4.25
2405504.214,4.0
2405512.224,3.6
2405621.644,3.75
2405634.604,3.55
2405635.594,3.65
2405651.524,4.15
2405662.544,3.55
2405663.494,3.65
2405664.554,3.65
2405665.514,3.7
2405670.544,3.65
2405686.494,3.7
2405687.464,3.9
2405689.514,4.4
2405696.504,4.45
2405697.464,4.25
2405698.514,3.55
2405700.484,3.65
2405706.494,3.6
2405707.444,3.6
2405708.434,3.65
2405709.454,3.85
2405710.404,4.1
2405710.514,4.25
2405711.434,4.35
2405713.414,3.5
2405713.524,3.5
2405716.504,4.3
2405717.464,4.35
2405718.474,4.3
2405718.584,4.3
2405719.404,3.85
2405719.504,3.8
2405722.414,3.6
2405722.544,3.6
2405723.494,3.8
2405724.414,4.1
2405724.544,4.25
2405725.394,4.0
2405735.404,3.6
2405735.544,3.6
2405736.394,3.65
2405736.494,3.65
2405738.394,4.18
2405742.444,3.6
2405742.554,3.56
2405743.344,3.56
2405743.464,3.55
2405744.474,3.65
2405749.404,3.45
2405751.344,3.65
2405754.344,4.46
2405754.504,4.46
2405755.354,3.85
2405755.464,3.75
2405756.464,3.5
2405757.344,3.6
2405757.514,3.6
2405758.344,3.7
2405758.474,3.7
2405759.344,4.17
2405766.354,3.85
2405775.364,4.35
2405777.364,3.55
2405777.474,3.5
2405786.324,3.9
2405786.474,3.8
2405788.334,4.4
2405791.274,3.85
2405791.384,3.85
2405792.394,3.6
2405794.364,3.7
2405795.334,3.9
2405799.264,3.45
2405799.414,3.45
2405802.264,4.12
2405803.264,4.25
2405803.374,4.35
2405806.394,3.55
2405810.264,4.2
2405811.254,4.4
2405812.304,4.1
2405812.394,4.0
2405820.364,3.95
2405824.294,4.3
2405839.294,4.45
2405853.244,3.85
2406022.534,3.6
2406042.504,3.6
2406073.444,3.8
2406081.414,3.6
2406098.404,4.45
2406139.324,3.9
2406139.454,3.8
2406140.294,4.0
2406140.464,4.1
2406143.314,4.07
2406144.304,3.5
2406146.384,4.15
2406147.374,4.1
2406148.434,4.35
2406149.404,4.35
2406151.344,3.55
2406152.344,3.6
2406165.274,3.55
2406196.254,3.65
2406201.314,3.7
2406205.304,4.4
2406238.234,3.75
2406239.224,4.0
2406241.244,4.3
2406242.234,4.4
2411892.5,4.1
2411947.5,4.1
2414843.438,3.9
2414852.444,4.1
2414876.439,4.0
2414895.397,4.1
2414898.392,3.9
2414901.411,3.9
2414902.412,4.1
2414930.415,4.0
2415196.486,4.1
2415218.5,4.3
2415224.469,3.8
2415226.462,4.2
2415229.458,3.6
2415231.431,3.6
2415236.46,3.8
2415237.453,3.6
2415244.417,3.4
2415245.385,3.7
2415245.415,4.0
2415246.41,3.8
2415247.401,4.0
2415247.406,3.8
2415248.403,4.3
2415249.428,4.1
2415250.419,3.7
2415254.427,4.1
2415255.448,4.1
2415256.42,3.8
2415256.426,4.2
2415258.463,3.7
2415262.403,4.1
2415262.406,4.0
2415265.404,3.6
2415265.417,3.8
2415267.368,4.0
