1,JD,Magnitude
471,2404090.0,4.15
472,2404091.0,4.04
473,2404092.0,3.5
474,2404093.0,3.68
475,2404094.0,4.02
476,2404096.0,4.04
477,2404097.0,3.6
478,2404100.0,4.1
479,2404101.0,4.2
480,2404102.0,3.8
481,2404116.0,4.1
482,2404119.0,3.7
483,2404121.0,4.02
484,2404122.0,4.1
485,2404125.0,3.5
486,2404129.0,3.9
487,2404136.0,3.65
488,2404145.0,3.64
489,2404147.0,4.0
490,2404156.0,3.43
491,2404157.0,3.67
492,2404159.0,3.9
495,2404172.0,3.5
498,2404174.0,3.9
499,2404175.0,3.85
500,2404176.0,4.05
501,2404178.0,3.5
502,2404187.0,3.9
503,2404190.0,3.75
506,2404198.0,3.95
509,2404203.0,3.95
510,2404204.0,4.0
511,2404209.0,3.75
516,2404212.0,3.87
517,2404213.0,3.9
518,2404214.0,3.98
519,2404216.0,3.65
520,2404219.0,4.02
523,2404226.0,3.8
526,2404231.0,3.5
531,2404234.0,3.98
532,2404235.0,4.1
533,2404236.0,3.67
534,2404237.0,3.55
535,2404238.0,3.6
536,2404239.0,3.98
539,2404248.0,3.55
540,2404249.0,3.9
541,2404250.0,4.0
542,2404251.0,4.04
543,2404253.0,3.55
544,2404254.0,3.8
545,2404256.0,4.0
546,2404258.0,3.45
547,2404259.0,3.9
548,2404262.0,4.04
549,2404263.0,3.6
550,2404266.0,4.0
551,2404267.0,4.05
552,2404268.0,3.85
553,2404276.0,3.75
554,2404279.0,3.7
555,2404288.0,3.95
556,2404290.0,3.55
557,2404291.0,3.7
558,2404294.0,4.0
559,2404302.0,3.65
560,2404304.0,4.05
561,2404305.0,4.05
564,2404307.0,3.8
565,2404310.0,4.1
566,2404311.0,3.9
567,2404314.0,3.95
568,2404320.0,4.05
571,2404324.0,3.85
572,2404332.0,4.05
573,2404333.0,3.65
576,2404335.0,3.7
577,2404336.0,3.93
580,2404338.0,3.8
583,2404340.0,3.85
586,2404342.0,3.97
587,2404346.0,3.9
588,2404348.0,4.05
589,2404352.0,3.93
590,2404354.0,4.07
591,2404356.0,3.7
592,2404364.0,4.0
593,2404366.0,3.57
594,2404369.0,4.1
595,2404371.0,3.55
596,2404372.0,3.65
597,2404373.0,3.9
598,2404375.0,4.15
599,2404377.0,3.55
600,2404381.0,3.63
601,2404382.0,3.63
602,2404391.0,4.13
605,2404398.0,3.6
608,2404429.0,4.05
609,2404437.0,3.92
610,2404451.0,3.64
611,2404470.0,3.98
612,2404471.0,4.15
613,2404472.0,3.95
614,2404476.0,4.12
615,2404478.0,3.48
616,2404480.0,3.95
617,2404484.0,3.58
618,2404488.0,4.0
619,2404489.0,3.57
620,2404490.0,3.65
621,2404492.0,4.07
622,2404493.0,4.04
623,2404497.0,4.04
624,2404499.0,3.6
625,2404500.0,3.5
626,2404505.0,3.75
627,2404525.0,3.95
628,2404526.0,4.08
629,2404551.0,3.9
630,2404554.0,3.6
631,2404555.0,3.7
634,2404564.0,3.45
635,2404565.0,3.68
636,2404568.0,4.0
641,2404573.0,4.07
642,2404576.0,3.7
643,2404577.0,3.98
644,2404579.0,3.98
645,2404590.0,4.07
646,2404593.0,3.95
647,2404594.0,4.0
648,2404595.0,4.0
649,2404608.0,3.68
650,2404616.0,4.07
651,2404623.0,3.45
652,2404624.0,3.7
653,2404625.0,3.93
654,2404626.0,4.05
655,2404630.0,4.0
656,2404640.0,3.7
657,2404641.0,3.74
658,2404647.0,3.98
659,2404648.0,4.0
660,2404649.0,3.9
661,2404650.0,3.6
662,2404651.0,3.7
663,2404652.0,3.84
664,2404657.0,3.8
665,2404658.0,3.93
666,2404660.0,3.7
667,2404661.0,3.63
668,2404663.0,4.0
671,2404665.0,3.9
674,2404667.0,3.65
675,2404668.0,3.88
676,2404669.0,3.95
679,2404671.0,4.0
680,2404675.0,4.05
681,2404676.0,3.73
682,2404677.0,3.63
683,2404679.0,3.95
684,2404680.0,4.0
685,2404681.0,4.0
689,2404683.0,3.7
690,2404705.0,3.7
691,2404706.0,3.85
692,2404707.0,4.0
693,2404713.0,4.0
694,2404715.0,3.6
695,2404716.0,3.9
696,2404717.0,3.95
697,2404718.0,4.0
698,2404721.0,3.7
699,2404726.0,3.65
700,2404736.0,3.66
701,2404737.0,3.7
702,2404741.0,3.57
703,2404746.0,3.7
704,2404751.0,4.05
705,2404764.0,3.8
706,2404767.0,4.0
707,2404769.0,3.75
708,2404794.0,3.85
709,2404812.0,3.7
710,2404818.0,4.0
711,2404819.0,4.1
712,2404823.0,4.1
713,2404826.0,3.9
714,2404834.0,3.75
715,2404836.0,4.1
716,2404838.0,3.6
717,2404842.0,4.0
718,2404850.0,4.0
719,2404855.0,3.7
720,2404857.0,4.07
721,2404858.0,4.15
722,2404859.0,3.5
723,2404860.0,3.6
724,2404861.0,3.7
725,2404865.0,3.6
726,2404867.0,3.92
727,2404868.0,4.12
728,2404892.0,3.57
729,2404898.0,3.55
730,2404899.0,3.85
731,2404909.0,3.55
732,2404913.0,3.8
733,2404933.0,4.0
734,2404960.0,4.0
735,2404970.0,3.95
736,2404975.0,3.85
737,2404980.0,3.95
738,2404981.0,4.04
739,2404983.0,3.45
742,2405000.0,3.75
743,2405001.0,3.95
744,2405002.0,4.04
745,2405017.0,3.8
752,2405021.0,3.7
753,2405022.0,3.9
754,2405023.0,3.9
757,2405026.0,3.5
758,2405027.0,3.7
759,2405030.0,3.8
763,2405035.0,4.03
764,2405038.0,3.75
768,2405040.0,4.08
769,2405041.0,3.73
770,2405042.0,3.63
773,2405044.0,3.8
780,2405049.0,3.9
783,2405051.0,4.0
784,2405054.0,3.85
785,2405056.0,4.07
788,2405058.0,3.55
791,2405060.0,3.95
797,2405063.0,3.55
800,2405067.0,4.05
803,2405074.0,3.72
804,2405077.0,4.05
805,2405078.0,4.1
806,2405079.0,3.45
809,2405089.0,3.95
810,2405090.0,3.45
811,2405093.0,4.0
812,2405102.0,3.68
816,2405106.0,3.6
817,2405113.0,3.66
818,2405115.0,4.1
823,2405129.0,3.75
824,2405131.0,4.05
825,2405133.0,3.6
826,2405140.0,4.0
829,2405151.0,3.95
830,2405152.0,4.05
831,2405154.0,3.95
832,2405155.0,3.65
833,2405157.0,4.1
836,2405162.0,4.05
837,2405164.0,4.03
838,2405168.0,4.05
839,2405173.0,4.05
840,2405184.0,4.03
841,2405186.0,3.7
844,2405207.0,4.13
845,2405208.0,3.5
846,2405218.0,4.04
847,2405227.0,4.02
848,2405232.0,4.0
849,2405242.0,4.05
850,2405243.0,3.9
851,2405247.0,3.5
852,2405250.0,3.9
853,2405251.0,3.67
854,2405252.0,3.45
855,2405259.0,3.57
856,2405262.0,3.6
857,2405263.0,3.73
858,2405304.0,3.57
859,2405311.0,3.65
860,2405312.0,3.94
861,2405320.0,3.63
862,2405338.0,3.6
863,2405418.0,3.7
866,2405423.0,3.4
871,2405426.0,4.0
880,2405431.0,3.93
